image_path,umap_x,umap_y,cluster
../data_3\102020529_NEG564427129491602014_102020529_NEG564427129491602014_sw_mtf_vis_only.jpg,-1.787039,-4.41875,1
../data_3\102020530_NEG572303674490459976_102020530_NEG572303674490459976_sw_mtf_vis_only.jpg,-0.05271445,-3.7454789,1
../data_3\102020530_NEG572378924491097026_102020530_NEG572378924491097026_sw_mtf_vis_only.jpg,-1.0722897,-0.29575762,1
../data_3\102020532_NEG584961967491933103_102020532_NEG584961967491933103_sw_mtf_vis_only.jpg,-2.7066364,-4.034742,1
../data_3\102020532_NEG589257492489565961_102020532_NEG589257492489565961_sw_mtf_vis_only.jpg,-0.28274873,-0.3782549,1
../data_3\102020532_NEG591117402487550021_102020532_NEG591117402487550021_sw_mtf_vis_only.jpg,-2.3893557,-1.8491086,1
../data_3\102020532_NEG592320863488461402_102020532_NEG592320863488461402_sw_mtf_vis_only.jpg,-2.9403234,-5.0453024,0
../data_3\102020533_NEG596261344490617547_102020533_NEG596261344490617547_sw_mtf_vis_only.jpg,-2.2132297,-4.202512,1
../data_3\102020534_NEG600985388487893328_102020534_NEG600985388487893328_sw_mtf_vis_only.jpg,-1.1121868,-4.1555085,1
../data_3\102020534_NEG604836154490669092_102020534_NEG604836154490669092_sw_mtf_vis_only.jpg,-0.71262103,-4.523572,1
../data_3\102020534_NEG604929086489066527_102020534_NEG604929086489066527_sw_mtf_vis_only.jpg,-0.43109983,-0.74955124,1
../data_3\102020535_NEG608150353491434608_102020535_NEG608150353491434608_sw_mtf_vis_only.jpg,-1.5733231,-2.6371808,1
../data_3\102020536_NEG621645331488224037_102020536_NEG621645331488224037_sw_mtf_vis_only.jpg,-1.0595483,-4.447073,1
../data_3\102020538_NEG631689440492354239_102020538_NEG631689440492354239_sw_mtf_vis_only.jpg,-3.6679094,-3.815601,0
../data_3\102020538_NEG637045736489835935_102020538_NEG637045736489835935_sw_mtf_vis_only.jpg,-1.5137889,-5.1429296,1
../data_3\102020539_NEG639239120489296299_102020539_NEG639239120489296299_sw_mtf_vis_only.jpg,0.06752984,-1.2731267,1
../data_3\102020539_NEG640534948489252606_102020539_NEG640534948489252606_sw_mtf_vis_only.jpg,-0.7830115,-4.748299,1
../data_3\102020539_NEG641383802490968352_102020539_NEG641383802490968352_sw_mtf_vis_only.jpg,-3.362575,-3.0630682,1
../data_3\102021006_NEG554672577486973111_102021006_NEG554672577486973111_sw_mtf_vis_only.jpg,-2.0820017,-4.8390317,1
../data_3\102021008_NEG569571426487440793_102021008_NEG569571426487440793_sw_mtf_vis_only.jpg,-0.8985983,-1.0252578,1
../data_3\102021009_NEG577024787484062221_102021009_NEG577024787484062221_sw_mtf_vis_only.jpg,-0.8330826,-1.830357,1
../data_3\102021010_NEG581199679484613010_102021010_NEG581199679484613010_sw_mtf_vis_only.jpg,-1.8418674,-3.4488533,1
../data_3\102021012_NEG594963796484947260_102021012_NEG594963796484947260_sw_mtf_vis_only.jpg,0.27350447,-3.2928822,1
../data_3\102021013_NEG602940269483238112_102021013_NEG602940269483238112_sw_mtf_vis_only.jpg,-0.53015465,-1.6901278,1
../data_3\102021013_NEG606090281487314103_102021013_NEG606090281487314103_sw_mtf_vis_only.jpg,-1.0850911,-1.0793027,1
../data_3\102021014_NEG610047486487275523_102021014_NEG610047486487275523_sw_mtf_vis_only.jpg,-0.5223596,-0.12767524,1
../data_3\102021014_NEG612545150486042170_102021014_NEG612545150486042170_sw_mtf_vis_only.jpg,-2.741658,-3.2356474,1
../data_3\102021014_NEG614981615482506340_102021014_NEG614981615482506340_sw_mtf_vis_only.jpg,-2.2159972,-4.6833143,1
../data_3\102021014_NEG616133820483754774_102021014_NEG616133820483754774_sw_mtf_vis_only.jpg,-0.08662702,-3.2373168,1
../data_3\102021016_NEG627891706482718950_102021016_NEG627891706482718950_sw_mtf_vis_only.jpg,-0.50632125,-4.077494,1
../data_3\102021016_NEG629685198482852633_102021016_NEG629685198482852633_sw_mtf_vis_only.jpg,-0.5055974,-2.7806885,1
../data_3\102021017_NEG633207820486535571_102021017_NEG633207820486535571_sw_mtf_vis_only.jpg,-2.240296,-1.7415912,0
