image_path,umap_x,umap_y,cluster
../data_2\102020529_NEG564427129491602014_102020529_NEG564427129491602014_sw_arcsinh_vis_only.jpg,0.08213854,4.4275584,1
../data_2\102020530_NEG572303674490459976_102020530_NEG572303674490459976_sw_arcsinh_vis_only.jpg,2.4009054,3.2966108,0
../data_2\102020530_NEG572378924491097026_102020530_NEG572378924491097026_sw_arcsinh_vis_only.jpg,3.3159323,3.8948262,0
../data_2\102020532_NEG584961967491933103_102020532_NEG584961967491933103_sw_arcsinh_vis_only.jpg,-1.2085621,4.1525126,1
../data_2\102020532_NEG589257492489565961_102020532_NEG589257492489565961_sw_arcsinh_vis_only.jpg,2.5852687,4.8366046,0
../data_2\102020532_NEG591117402487550021_102020532_NEG591117402487550021_sw_arcsinh_vis_only.jpg,0.50648457,3.59878,1
../data_2\102020532_NEG592320863488461402_102020532_NEG592320863488461402_sw_arcsinh_vis_only.jpg,-0.61945796,2.8356686,1
../data_2\102020533_NEG596261344490617547_102020533_NEG596261344490617547_sw_arcsinh_vis_only.jpg,-0.3991408,5.4577947,1
../data_2\102020534_NEG600985388487893328_102020534_NEG600985388487893328_sw_arcsinh_vis_only.jpg,0.29466736,4.3248453,1
../data_2\102020534_NEG604836154490669092_102020534_NEG604836154490669092_sw_arcsinh_vis_only.jpg,-0.2728672,4.332027,1
../data_2\102020534_NEG604929086489066527_102020534_NEG604929086489066527_sw_arcsinh_vis_only.jpg,3.0617576,4.519733,0
../data_2\102020535_NEG608150353491434608_102020535_NEG608150353491434608_sw_arcsinh_vis_only.jpg,-1.4304501,4.847983,1
../data_2\102020536_NEG621645331488224037_102020536_NEG621645331488224037_sw_arcsinh_vis_only.jpg,-0.04122763,5.179358,1
../data_2\102020538_NEG631689440492354239_102020538_NEG631689440492354239_sw_arcsinh_vis_only.jpg,-0.074746035,2.4098256,1
../data_2\102020538_NEG637045736489835935_102020538_NEG637045736489835935_sw_arcsinh_vis_only.jpg,-1.0834368,3.3782518,1
../data_2\102020539_NEG639239120489296299_102020539_NEG639239120489296299_sw_arcsinh_vis_only.jpg,3.3246803,5.4346886,0
../data_2\102020539_NEG640534948489252606_102020539_NEG640534948489252606_sw_arcsinh_vis_only.jpg,-0.6120138,5.0977283,1
../data_2\102020539_NEG641383802490968352_102020539_NEG641383802490968352_sw_arcsinh_vis_only.jpg,-0.42553228,3.7083383,1
../data_2\102021006_NEG554672577486973111_102021006_NEG554672577486973111_sw_arcsinh_vis_only.jpg,-0.6474045,3.6933262,1
../data_2\102021008_NEG569571426487440793_102021008_NEG569571426487440793_sw_arcsinh_vis_only.jpg,3.3200433,4.3322334,0
../data_2\102021009_NEG577024787484062221_102021009_NEG577024787484062221_sw_arcsinh_vis_only.jpg,1.9147576,3.6936803,0
../data_2\102021010_NEG581199679484613010_102021010_NEG581199679484613010_sw_arcsinh_vis_only.jpg,0.37184536,3.6780562,1
../data_2\102021012_NEG594963796484947260_102021012_NEG594963796484947260_sw_arcsinh_vis_only.jpg,1.9024998,4.515897,0
../data_2\102021013_NEG602940269483238112_102021013_NEG602940269483238112_sw_arcsinh_vis_only.jpg,2.755283,4.48543,0
../data_2\102021013_NEG606090281487314103_102021013_NEG606090281487314103_sw_arcsinh_vis_only.jpg,3.4253235,3.815953,0
../data_2\102021014_NEG610047486487275523_102021014_NEG610047486487275523_sw_arcsinh_vis_only.jpg,3.5285873,5.08708,0
../data_2\102021014_NEG612545150486042170_102021014_NEG612545150486042170_sw_arcsinh_vis_only.jpg,0.3501413,4.0036383,1
../data_2\102021014_NEG614981615482506340_102021014_NEG614981615482506340_sw_arcsinh_vis_only.jpg,-0.8641073,4.209334,1
../data_2\102021014_NEG616133820483754774_102021014_NEG616133820483754774_sw_arcsinh_vis_only.jpg,2.5032213,3.9034724,0
../data_2\102021016_NEG627891706482718950_102021016_NEG627891706482718950_sw_arcsinh_vis_only.jpg,0.26111838,5.1298122,1
../data_2\102021016_NEG629685198482852633_102021016_NEG629685198482852633_sw_arcsinh_vis_only.jpg,2.176201,3.442469,1
../data_2\102021017_NEG633207820486535571_102021017_NEG633207820486535571_sw_arcsinh_vis_only.jpg,1.0797182,3.7494543,1
