image_path,umap_x,umap_y,cluster
../data\102019123_NEG567245233502945885_102019123_NEG567245233502945885_sw_arcsinh_vis_y_j.jpg,14.145396,-4.489628,3
../data\102019123_NEG567245233502945885_102019123_NEG567245233502945885_sw_mtf_vis_j.jpg,8.740406,10.476727,0
../data\102019123_NEG567245233502945885_102019123_NEG567245233502945885_sw_mtf_vis_only.jpg,10.281936,6.8982186,4
../data\102019123_NEG567245233502945885_102019123_NEG567245233502945885_sw_mtf_vis_y.jpg,9.165791,10.037932,0
../data\102019123_NEG567245233502945885_102019123_NEG567245233502945885_sw_mtf_vis_y_j.jpg,-2.805123,3.8645704,1
../data\102019125_NEG586359480506090347_102019125_NEG586359480506090347_sw_arcsinh_vis_j.jpg,16.239388,-3.3146067,3
../data\102019125_NEG586359480506090347_102019125_NEG586359480506090347_sw_arcsinh_vis_only.jpg,11.786291,4.753334,4
../data\102019125_NEG586359480506090347_102019125_NEG586359480506090347_sw_arcsinh_vis_y.jpg,16.47871,-3.3049006,3
../data\102019125_NEG586359480506090347_102019125_NEG586359480506090347_sw_arcsinh_vis_y_j.jpg,13.874983,-3.9757774,3
../data\102019125_NEG586359480506090347_102019125_NEG586359480506090347_sw_mtf_vis_j.jpg,9.124215,9.900215,0
../data\102019125_NEG586359480506090347_102019125_NEG586359480506090347_sw_mtf_vis_only.jpg,10.287094,6.60841,4
../data\102019125_NEG586359480506090347_102019125_NEG586359480506090347_sw_mtf_vis_y.jpg,9.816941,8.028201,0
../data\102019125_NEG586359480506090347_102019125_NEG586359480506090347_sw_mtf_vis_y_j.jpg,-4.0440416,4.008662,1
../data\102019126_NEG589666030505609975_102019126_NEG589666030505609975_sw_arcsinh_vis_j.jpg,16.547464,-4.71507,3
../data\102019126_NEG589666030505609975_102019126_NEG589666030505609975_sw_arcsinh_vis_only.jpg,12.910772,4.3324957,4
../data\102019126_NEG589666030505609975_102019126_NEG589666030505609975_sw_arcsinh_vis_y.jpg,16.67496,-4.77582,3
../data\102019126_NEG589666030505609975_102019126_NEG589666030505609975_sw_arcsinh_vis_y_j.jpg,14.019237,-4.800599,3
../data\102019126_NEG589666030505609975_102019126_NEG589666030505609975_sw_mtf_vis_j.jpg,8.6949625,10.773382,0
../data\102019126_NEG589666030505609975_102019126_NEG589666030505609975_sw_mtf_vis_only.jpg,9.162456,7.55094,4
../data\102019126_NEG589666030505609975_102019126_NEG589666030505609975_sw_mtf_vis_y.jpg,8.760801,10.844103,0
../data\102019126_NEG589666030505609975_102019126_NEG589666030505609975_sw_mtf_vis_y_j.jpg,-3.2107008,3.8112125,1
../data\102019127_NEG596525941504553950_102019127_NEG596525941504553950_sw_arcsinh_vis_j.jpg,16.108727,-2.239292,3
